Date,DCA Value
2012-05-31,24910.825153268604
2012-07-31,23918.27800182124
2012-08-31,25860.904119431998
2012-10-31,19682.889311484836
2012-11-30,18539.284934043662
2012-12-31,19632.781944682396
2013-01-31,21153.61445349104
2013-02-28,21596.428693007387
2013-04-30,19413.307453593625
2013-05-31,19827.23932170684
2013-07-31,20589.400563221338
2013-09-30,22556.070807744785
2013-10-31,26530.78574469117
2013-12-31,27158.980925488264
2014-01-31,27577.906534986752
2014-02-28,28423.77230900303
2014-03-31,25664.590418068474
2014-04-30,27040.820206335426
2014-06-30,31296.127465930476
2014-07-31,31972.564667729654
2014-09-30,29506.9117208792
2014-10-31,36127.98601369516
2014-12-31,36552.873715199275
2015-03-31,37991.262811044224
2015-04-30,41120.206131778956
2015-06-30,38476.2343214941
2015-07-31,46053.82180242543
2015-08-31,44945.58663767028
2015-09-30,44573.53101997612
2015-11-30,39846.36981121186
2015-12-31,41287.644003451365
2016-02-29,37189.40034934302
2016-03-31,41598.61174403195
2016-05-31,43170.208752289866
2016-06-30,40643.58201213184
2016-08-31,39080.19358379162
2016-09-30,39330.17317927103
2016-10-31,45662.746279897874
2016-11-30,45607.29541648996
2017-01-31,47475.80561014169
2017-02-28,45431.081062783975
2017-03-31,44656.71094765704
2017-05-31,43641.37175017203
2017-06-30,45841.51198335427
2017-07-31,32967.19748770894
2017-08-31,31873.175378779324
2017-10-31,32967.52408429453
2017-11-30,34148.02611797409
2018-01-31,34790.20170640583
2018-02-28,32601.437515639147
2018-04-30,32572.850694422956
2018-05-31,33336.7731295734
2018-07-31,33789.30500596174
2018-08-31,38522.68232266475
2018-10-31,33025.998845600094
2018-11-30,34132.001787305664
2018-12-31,33499.42291578086
2019-01-31,33482.327752816316
2019-02-28,37316.37896419659
2019-04-30,39952.08542194613
2019-05-31,35824.720087291375
2019-07-31,37236.07821381026
2019-09-30,40244.11553417952
2019-10-31,41660.45418767036
2019-12-31,39655.2227165462
2020-01-31,42436.44690075569
2020-03-31,33888.75785639784
2020-04-30,36686.2868403523
2020-06-30,35614.04082239193
2020-07-31,37145.24191187785
2020-08-31,42979.80830329643
2020-09-30,44097.017120318655
2020-11-30,91893.75318503482
2020-12-31,103605.78386384118
2021-03-31,176121.66177030106
2021-04-30,171391.54331444533
2021-06-30,173948.1754693029
2021-08-31,182487.69499598266
2021-09-30,153128.78226309587
2021-11-30,190420.6307314048
2021-12-31,146689.77890735507
2022-01-31,102014.84393698545
2022-02-28,120418.94391383934
2022-03-31,131639.74255524593
2022-05-31,75230.28296569374
2022-06-30,49737.67389734729
2022-08-31,66855.63593278741
2022-09-30,61155.843648613234
2022-10-31,75109.84365754954
2022-11-30,58545.937531470685
2023-01-31,71914.47892787067
2023-02-28,74749.79448052749
2023-03-31,83764.68088917994
2023-05-31,87609.12895496545
2023-06-30,98454.8181502989
2023-07-31,122598.11846731248
2023-08-31,102055.4623084344
2023-10-31,119237.7559259322
2023-11-30,139807.33424837302
2024-01-31,141290.7102857682
2024-02-29,274753.5798617576
2024-04-30,284757.21827317006
2024-05-31,402815.7489912336
2024-07-31,425946.43563980097
2024-09-30,444724.9799054809
2024-10-31,637475.0962465955
2024-12-31,753166.5981150568
2025-01-31,868221.6251613795
2025-02-28,665337.065089835
2025-03-31,748444.8701458736
