,Weight
SCHD,0.3252933153577326
SWPPX,0.1260372211425498
SCHG,0.0
QQQM,9.75781955236954e-19
PLTR,0.0
MSTR,5.421010862427522e-19
SOFI,0.0
MSFT,0.0
BRK-B,0.18591844651267878
GOOG,6.7220534694101275e-18
JPM,2.8189256484623115e-18
MRK,0.25792946032622116
LULU,4.662069341687669e-18
UNH,0.10482155666081776
