,Weight
SCHD,0.0
SWPPX,2.366934326416257e-17
SCHG,0.0
QQQM,0.017543859649122806
PLTR,0.017543859649122806
MSTR,0.894736842105263
SOFI,0.017543859649122806
MSFT,0.017543859649122806
BRK-B,2.1031708543109743e-17
GOOG,0.017543859649122865
JPM,1.1695320160463797e-17
MRK,7.972211097207698e-18
LULU,0.017543859649122806
UNH,3.2791762872703358e-18
